relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.650      0.497      0.612        340       5716
author                    0.565      0.770      0.597        509       5885
capital                   0.359      0.442      0.373         95       5471
contains                  0.678      0.874      0.709       3904       9280
film_performance          0.586      0.701      0.606        766       6142
founders                  0.464      0.645      0.492        380       5756
genre                     0.259      0.306      0.267        170       5546
has_sibling               0.714      0.200      0.472        499       5875
has_spouse                0.493      0.508      0.496        594       5970
is_a                      0.459      0.493      0.465        497       5873
nationality               0.437      0.684      0.471        301       5677
parents                   0.731      0.506      0.672        312       5688
place_of_birth            0.389      0.476      0.404        233       5609
place_of_death            0.314      0.138      0.251        159       5535
profession                0.414      0.437      0.418        247       5623
worked_at                 0.498      0.426      0.481        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.501      0.507      0.487       9248      95264
