relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.045      0.259      0.054        340       5716
author                    0.230      0.521      0.259        509       5885
capital                   0.065      0.232      0.076         95       5471
contains                  0.504      0.706      0.535       3904       9280
film_performance          0.300      0.431      0.319        766       6142
founders                  0.209      0.295      0.222        380       5756
genre                     0.142      0.265      0.156        170       5546
has_sibling               0.261      0.303      0.269        499       5875
has_spouse                0.220      0.475      0.247        594       5970
is_a                      0.253      0.348      0.268        497       5873
nationality               0.258      0.432      0.281        301       5677
parents                   0.163      0.266      0.177        312       5688
place_of_birth            0.142      0.318      0.160        233       5609
place_of_death            0.132      0.314      0.149        159       5535
profession                0.158      0.340      0.177        247       5623
worked_at                 0.168      0.302      0.185        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.203      0.363      0.221       9248      95264
