relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.139      0.241      0.151        340       5716
author                    0.488      0.652      0.513        509       5885
capital                   0.125      0.368      0.144         95       5471
contains                  0.562      0.837      0.602       3904       9280
film_performance          0.394      0.706      0.432        766       6142
founders                  0.313      0.524      0.341        380       5756
genre                     0.174      0.324      0.192        170       5546
has_sibling               0.383      0.407      0.388        499       5875
has_spouse                0.329      0.672      0.367        594       5970
is_a                      0.398      0.431      0.404        497       5873
nationality               0.332      0.502      0.356        301       5677
parents                   0.461      0.641      0.488        312       5688
place_of_birth            0.258      0.395      0.277        233       5609
place_of_death            0.230      0.302      0.241        159       5535
profession                0.314      0.433      0.332        247       5623
worked_at                 0.201      0.417      0.224        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.319      0.491      0.341       9248      95264
