relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.749      0.482      0.674        340       5716
author                    0.510      0.811      0.551        509       5885
capital                   0.379      0.379      0.379         95       5471
contains                  0.625      0.909      0.667       3904       9280
film_performance          0.754      0.751      0.753        766       6142
founders                  0.772      0.489      0.692        380       5756
genre                     0.597      0.471      0.567        170       5546
has_sibling               0.693      0.339      0.573        499       5875
has_spouse                0.764      0.387      0.640        594       5970
is_a                      0.647      0.368      0.562        497       5873
nationality               0.506      0.259      0.425        301       5677
parents                   0.796      0.599      0.747        312       5688
place_of_birth            0.294      0.614      0.328        233       5609
place_of_death            0.194      0.560      0.223        159       5535
profession                0.626      0.352      0.542        247       5623
worked_at                 0.684      0.376      0.588        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.599      0.509      0.557       9248      95264
