relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.044      0.447      0.054        340       5716
author                    0.305      0.737      0.346        509       5885
capital                   0.065      0.305      0.077         95       5471
contains                  0.490      0.793      0.530       3904       9280
film_performance          0.243      0.243      0.243        766       6142
founders                  0.224      0.624      0.257        380       5756
genre                     0.130      0.312      0.147        170       5546
has_sibling               0.292      0.297      0.293        499       5875
has_spouse                0.265      0.343      0.278        594       5970
is_a                      0.222      0.398      0.244        497       5873
nationality               0.190      0.585      0.220        301       5677
parents                   0.198      0.577      0.228        312       5688
place_of_birth            0.209      0.253      0.217        233       5609
place_of_death            0.124      0.289      0.140        159       5535
profession                0.123      0.336      0.141        247       5623
worked_at                 0.110      0.479      0.130        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.202      0.439      0.221       9248      95264
