relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.694      0.474      0.635        340       5716
author                    0.733      0.670      0.720        509       5885
capital                   0.400      0.316      0.380         95       5471
contains                  0.669      0.881      0.702       3904       9280
film_performance          0.619      0.731      0.639        766       6142
founders                  0.626      0.432      0.574        380       5756
genre                     0.663      0.371      0.573        170       5546
has_sibling               0.756      0.261      0.548        499       5875
has_spouse                0.686      0.423      0.610        594       5970
is_a                      0.614      0.292      0.503        497       5873
nationality               0.395      0.292      0.369        301       5677
parents                   0.784      0.535      0.717        312       5688
place_of_birth            0.560      0.202      0.413        233       5609
place_of_death            0.472      0.107      0.281        159       5535
profession                0.603      0.283      0.492        247       5623
worked_at                 0.647      0.318      0.536        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.620      0.412      0.543       9248      95264
