relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.479      0.500      0.483        340       5716
author                    0.551      0.782      0.586        509       5885
capital                   0.384      0.295      0.362         95       5471
contains                  0.658      0.843      0.688       3904       9280
film_performance          0.567      0.710      0.591        766       6142
founders                  0.412      0.611      0.441        380       5756
genre                     0.256      0.388      0.275        170       5546
has_sibling               0.354      0.525      0.378        499       5875
has_spouse                0.342      0.702      0.381        594       5970
is_a                      0.440      0.475      0.447        497       5873
nationality               0.378      0.631      0.411        301       5677
parents                   0.504      0.647      0.527        312       5688
place_of_birth            0.345      0.511      0.369        233       5609
place_of_death            0.248      0.421      0.270        159       5535
profession                0.348      0.462      0.366        247       5623
worked_at                 0.289      0.450      0.311        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.410      0.560      0.430       9248      95264
