relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.627      0.538      0.607        340       5716
author                    0.538      0.772      0.573        509       5885
capital                   0.336      0.442      0.353         95       5471
contains                  0.659      0.854      0.690       3904       9280
film_performance          0.571      0.675      0.589        766       6142
founders                  0.503      0.671      0.529        380       5756
genre                     0.256      0.359      0.272        170       5546
has_sibling               0.491      0.164      0.351        499       5875
has_spouse                0.393      0.731      0.433        594       5970
is_a                      0.475      0.527      0.485        497       5873
nationality               0.391      0.688      0.428        301       5677
parents                   0.469      0.708      0.503        312       5688
place_of_birth            0.350      0.489      0.371        233       5609
place_of_death            0.208      0.126      0.184        159       5535
profession                0.471      0.522      0.480        247       5623
worked_at                 0.475      0.434      0.466        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.451      0.544      0.457       9248      95264
