relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.052      0.479      0.063        340       5716
author                    0.385      0.642      0.419        509       5885
capital                   0.118      0.305      0.134         95       5471
contains                  0.544      0.831      0.584       3904       9280
film_performance          0.385      0.657      0.419        766       6142
founders                  0.255      0.405      0.275        380       5756
genre                     0.157      0.400      0.179        170       5546
has_sibling               0.377      0.347      0.370        499       5875
has_spouse                0.285      0.625      0.320        594       5970
is_a                      0.335      0.414      0.348        497       5873
nationality               0.343      0.558      0.372        301       5677
parents                   0.293      0.516      0.320        312       5688
place_of_birth            0.239      0.391      0.260        233       5609
place_of_death            0.163      0.277      0.178        159       5535
profession                0.262      0.364      0.277        247       5623
worked_at                 0.148      0.240      0.160        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.271      0.466      0.292       9248      95264
