relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.732      0.497      0.669        340       5716
author                    0.761      0.694      0.746        509       5885
capital                   0.410      0.358      0.398         95       5471
contains                  0.663      0.908      0.701       3904       9280
film_performance          0.765      0.753      0.763        766       6142
founders                  0.741      0.482      0.669        380       5756
genre                     0.642      0.465      0.597        170       5546
has_sibling               0.781      0.265      0.562        499       5875
has_spouse                0.824      0.364      0.658        594       5970
is_a                      0.640      0.340      0.544        497       5873
nationality               0.528      0.286      0.451        301       5677
parents                   0.796      0.577      0.740        312       5688
place_of_birth            0.621      0.275      0.496        233       5609
place_of_death            0.471      0.208      0.376        159       5535
profession                0.601      0.372      0.536        247       5623
worked_at                 0.734      0.376      0.617        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.669      0.451      0.595       9248      95264
