relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.831      0.435      0.703        340       5716
author                    0.799      0.662      0.767        509       5885
capital                   0.395      0.316      0.376         95       5471
contains                  0.851      0.636      0.797       3904       9280
film_performance          0.822      0.689      0.792        766       6142
founders                  0.825      0.461      0.713        380       5756
genre                     0.695      0.335      0.572        170       5546
has_sibling               0.863      0.253      0.582        499       5875
has_spouse                0.894      0.340      0.674        594       5970
is_a                      0.753      0.282      0.564        497       5873
nationality               0.722      0.189      0.462        301       5677
parents                   0.821      0.574      0.756        312       5688
place_of_birth            0.609      0.240      0.466        233       5609
place_of_death            0.521      0.157      0.356        159       5535
profession                0.782      0.275      0.571        247       5623
worked_at                 0.789      0.310      0.603        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.748      0.385      0.610       9248      95264
