relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.053      0.256      0.063        340       5716
author                    0.401      0.709      0.439        509       5885
capital                   0.113      0.263      0.128         95       5471
contains                  0.526      0.665      0.549       3904       9280
film_performance          0.413      0.614      0.442        766       6142
founders                  0.283      0.458      0.307        380       5756
genre                     0.158      0.329      0.177        170       5546
has_sibling               0.151      0.393      0.173        499       5875
has_spouse                0.259      0.579      0.291        594       5970
is_a                      0.310      0.366      0.319        497       5873
nationality               0.278      0.385      0.295        301       5677
parents                   0.323      0.478      0.346        312       5688
place_of_birth            0.159      0.262      0.173        233       5609
place_of_death            0.150      0.302      0.167        159       5535
profession                0.210      0.356      0.228        247       5623
worked_at                 0.164      0.463      0.188        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.247      0.430      0.268       9248      95264
