relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.615      0.488      0.585        340       5716
author                    0.489      0.792      0.530        509       5885
capital                   0.383      0.463      0.396         95       5471
contains                  0.655      0.870      0.689       3904       9280
film_performance          0.570      0.718      0.594        766       6142
founders                  0.399      0.616      0.429        380       5756
genre                     0.265      0.412      0.285        170       5546
has_sibling               0.402      0.661      0.436        499       5875
has_spouse                0.356      0.709      0.395        594       5970
is_a                      0.439      0.541      0.456        497       5873
nationality               0.357      0.688      0.395        301       5677
parents                   0.482      0.689      0.513        312       5688
place_of_birth            0.334      0.554      0.363        233       5609
place_of_death            0.250      0.478      0.276        159       5535
profession                0.363      0.538      0.389        247       5623
worked_at                 0.281      0.471      0.305        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.415      0.605      0.440       9248      95264
