relation              precision     recall    f-score    support       size
------------------    ---------  ---------  ---------  ---------  ---------
adjoins                   0.081      0.656      0.099        340       5716
author                    0.453      0.758      0.492        509       5885
capital                   0.103      0.463      0.122         95       5471
contains                  0.632      0.831      0.664       3904       9280
film_performance          0.497      0.636      0.520        766       6142
founders                  0.346      0.618      0.380        380       5756
genre                     0.218      0.335      0.234        170       5546
has_sibling               0.286      0.553      0.317        499       5875
has_spouse                0.328      0.710      0.367        594       5970
is_a                      0.384      0.451      0.395        497       5873
nationality               0.351      0.561      0.380        301       5677
parents                   0.413      0.612      0.442        312       5688
place_of_birth            0.318      0.382      0.329        233       5609
place_of_death            0.194      0.352      0.213        159       5535
profession                0.311      0.482      0.334        247       5623
worked_at                 0.265      0.463      0.290        242       5618
------------------    ---------  ---------  ---------  ---------  ---------
macro-average             0.324      0.554      0.349       9248      95264
